experience,test_score,interview_score,salary($)
5,7,4.0,50000
7,9,5.0,50000
5,10,4.0,100000
8,10,4.0,100000
3,10,3.0,50000
6,6,3.0,50000
5,9,4.0,50000
12,10,3.0,100000
4,10,4.0,50000
11,4,1.0,50000
13,9,4.0,100000
7,10,4.0,50000
5,9,4.0,50000
11,9,4.0,50000
9,9,5.0,100000
8,10,5.0,100000
4,10,2.0,50000
8,9,3.0,50000
7,9,2.0,50000
8,10,4.0,100000
6,10,5.0,100000
6,10,4.0,50000
14,4,1.0,50000
5,10,4.0,50000
5,10,4.0,50000
9,9,9.0,100000
4,9,2.0,50000
4,9,5.0,50000
10,9,4.0,50000
6,10,6.0,50000
9,10,4.0,100000
11,7,5.0,50000
4,10,5.0,50000
4,10,4.0,50000
5,9,4.0,50000
13,9,4.0,50000
7,10,4.0,100000
4,3,5.0,50000
3,6,4.0,50000
4,9,4.0,50000
13,10,5.0,100000
8,10,4.0,100000
7,9,4.0,50000
5,7,4.0,50000
4,10,3.0,50000
5,10,4.0,100000
7,4,4.0,50000
10,10,5.0,50000
10,7,2.0,50000
11,9,5.0,50000
3,10,2.0,50000
7,9,4.0,50000
4,10,2.0,50000
4,9,6.0,100000
7,5,5.0,50000
4,10,4.0,50000
12,9,4.0,50000
6,10,5.0,100000
8,9,5.0,100000
6,9,4.0,50000
6,10,5.0,50000
7,10,4.0,50000
5,10,4.0,50000
6,9,4.0,50000
9,9,4.0,50000
8,10,4.0,50000
8,10,6.0,100000
3,10,2.0,50000
9,9,4.0,50000
8,9,5.0,50000
11,10,4.0,100000
9,10,4.0,50000
6,9,4.0,50000
4,10,4.0,50000
9,10,4.0,50000
3,6,4.0,50000
8,9,5.0,50000
13,9,3.0,50000
10,9,4.0,50000
4,10,4.0,50000
9,10,5.0,50000
4,10,4.0,50000
4,10,4.0,50000
8,9,5.0,100000
6,10,5.0,50000
8,9,4.0,50000
4,7,1.0,50000
11,9,6.0,100000
4,10,4.0,50000
8,10,1.0,100000
11,10,2.0,50000
9,4,2.0,50000
6,10,1.0,100000
11,10,4.0,50000
6,10,4.0,50000
4,9,4.0,50000
5,10,4.0,50000
9,6,4.0,50000
11,9,4.0,100000
4,9,4.0,50000
10,10,2.0,50000
6,10,4.0,50000
4,10,4.0,50000
11,5,4.0,50000
10,9,3.0,50000
7,6,4.0,50000
8,9,4.0,50000
5,9,4.0,50000
3,10,2.0,50000
3,9,3.0,50000
3,9,5.0,50000
5,10,4.0,50000
5,10,4.0,100000
4,9,2.0,50000
8,10,4.0,50000
5,9,4.0,50000
9,9,4.0,50000
4,7,2.0,50000
8,9,4.0,50000
8,10,4.0,100000
6,10,6.0,50000
3,10,2.0,50000
3,10,3.0,50000
8,10,4.0,50000
8,9,4.0,50000
13,9,2.0,50000
9,10,4.0,100000
5,9,4.0,50000
5,9,6.0,100000
8,10,5.0,100000
8,10,4.0,50000
4,9,4.0,50000
4,9,4.0,50000
8,10,4.0,100000
11,9,5.0,50000
6,10,4.0,50000
7,9,6.0,100000
9,4,4.0,50000
6,9,4.0,50000
4,6,4.0,50000
9,10,4.0,50000
3,10,2.0,50000
8,9,6.0,100000
8,9,4.0,100000
6,10,3.0,50000
9,9,3.0,50000
8,10,3.0,50000
6,9,4.0,100000
11,10,5.0,100000
3,9,3.0,50000
5,10,1.0,50000
5,7,3.0,50000
10,4,2.0,50000
4,7,4.0,50000
8,10,4.0,100000
5,10,4.0,50000
5,9,4.0,50000
4,10,2.0,50000
8,10,4.0,50000
7,10,4.0,50000
11,7,3.0,50000
6,9,4.0,50000
4,9,4.0,50000
5,10,4.0,50000
9,10,4.0,100000
6,10,4.0,100000
11,10,2.0,100000
8,9,4.0,50000
3,9,2.0,50000
11,9,3.0,50000
10,9,4.0,100000
6,10,4.0,50000
5,10,4.0,50000
12,8,6.0,50000
9,10,4.0,50000
7,10,4.0,100000
4,10,4.0,50000
8,10,4.0,50000
6,9,5.0,100000
7,10,4.0,100000
6,10,4.0,50000
11,10,4.0,100000
5,9,4.0,100000
7,10,6.0,50000
8,9,4.0,50000
12,10,1.0,50000
10,9,4.0,50000
4,9,5.0,50000
6,10,4.0,50000
